Scorecard,Id,Name
110583,001Vx00000s6KGGIA2,California State University-Long Beach
112260,001Vx00000s6KLkIAM,Claremont McKenna College
130794,001Vx00000s6KTtIAM,Yale University
131496,001Kd000028nWsbIAE,Georgetown University
136950,001Vx00000s6KVXIA2,Rollins College
139959,001Vx00000s6KWjIAM,University of Georgia
147767,001Vx00000s6KZTIA2,Northwestern University
149781,001Vx00000s6KaAIAU,Wheaton College
152080,001Vx00000s6KatIAE,University of Notre Dame
161086,001Vx00000s6Kf6IAE,Colby College
164924,001Vx00000s6KgXIAU,Boston College
166124,001Vx00000s6Kh3IAE,College of the Holy Cross
166513,001Vx00000s6KhAIAU,University of Massachusetts-Lowell
168148,001Vx00000s6KhsIAE,Tufts University
168342,001Vx00000s6KhyIAE,Williams College
183026,001Vx00000s6KnpIAE,Southern New Hampshire University
186131,001Vx00000s6KoxIAE,Princeton University
189097,001Vx00000s6Kq5IAE,Barnard College
190150,001Vx00000s6KqWIAU,Columbia University in the City of New York
190415,001Vx00000s6KqbIAE,Cornell University
192323,001Vx00000s6KrZIAU,Le Moyne College
197133,001Vx00000s6KtiIAE,Vassar College
198419,001Vx00000s6KuPIAU,Duke University
199120,001Vx00000s6Kv5IAE,University of North Carolina at Chapel Hill
211291,001Vx00000s6L0kIAE,Bucknell University
212577,001Vx00000s6L1JIAU,Franklin and Marshall College
215062,001Vx00000s6L2jIAE,University of Pennsylvania
216597,001Vx00000s6L3WIAU,Villanova University
217156,001Vx00000s6L3mIAE,Brown University
217882,001Vx00000s6L4CIAU,Clemson University
218070,001Vx00000s6L4LIAU,Furman University
234076,001Vx00000s6LCjIAM,University of Virginia-Main Campus
243744,001Vx00000s6LJiIAM,Stanford University
243780,001Vx00000s6LJjIAM,Purdue University-Main Campus
