CPL_Member__c,Start_Date__c,Job_Title__c,Internship_Season__c,Country__c,Notes__c,Employment_Type__c,RecordTypeId,State__c
001Vx000014a5MZIAY,1900-01-01,Wealth Management Summer Analyst,Summer,USA,2026 Wealth Management Summer Analyst Program,Internship,012Vx00000BV8J8IAL,
001Vx000014a7crIAA,1900-01-01,Investment Banking Summer Analyst,Summer,USA,"Company Name: Evercore
Investment Banking Summer Analyst at Evercore",Internship,012Vx00000BV8J8IAL,
001Vx000014ZneCIAS,1900-01-01,Summer Consultant,Summer,USA,"Company Name: PwC
Summer Consultant at PwC",Internship,012Vx00000BV8J8IAL,
001Vx000014a7eTIAQ,1900-01-01,Account Manager Intern,,USA,"Company Name: Aon
Account Manager Intern at AON in NYC",Internship,012Vx00000BV8J8IAL,NY
001Vx000014ZTKeIAO,1900-01-01,EWS Intern,Summer,USA,EWS Summer Internship in Tempe AZ,Internship,012Vx00000BV8J8IAL,AZ
001Vx000014a87VIAQ,1900-01-01,Intern,,USA,Interned on Betsy Pakenas' team.,Internship,012Vx00000BV8J8IAL,
001Vx000014a1KaIAI,1900-01-01,Family Office Intern,,USA,"Company Name: SatCap LLC
Interned at a family office in nyc called SatCap LLC also doing virtual job simulations on Goldman Sachs forage platform.",Internship,012Vx00000BV8J8IAL,NY
001Vx000014ZjidIAC,1900-01-01,Commercial Banking Analyst,,USA,"Company Name: Citi
2027 Commercial Banking Analyst at Citi",Internship,012Vx00000BV8J8IAL,
001Vx000014ZQT7IAO,1900-01-01,Summer Analyst,Summer,USA,"Company Name: JPMorgan Chase
2027 Summer Analyst at JP Morgan in Houston",Internship,012Vx00000BV8J8IAL,TX
001Vx000014a5WKIAY,1900-01-01,Summer Intern,Summer,USA,"Company Name: New Balance
New Balance Summer Intern",Internship,012Vx00000BV8J8IAL,
001Vx000014a8DxIAI,1900-01-01,Business Analyst Intern,,USA,"Company Name: Link Business Brokers
Business Analyst Intern at Link Business Brokers",Internship,012Vx00000BV8J8IAL,
001Vx000014a8FZIAY,1900-01-01,Wealth Management Analyst,Summer,USA,2027 Wealth Management Analyst Summer Internship,Internship,012Vx00000BV8J8IAL,
001Vx000014ZooxIAC,1900-01-01,Summer Analyst,Summer,USA,"Company Name: JPMorgan Chase
Summer Analyst at JP Morgan",Internship,012Vx00000BV8J8IAL,
001Vx000014a8HBIAY,1900-01-01,Wealth Management Analyst,Summer,USA,Wealth Management Analyst Summer Internship in NY,Internship,012Vx00000BV8J8IAL,NY
001Vx000014ZfWyIAK,1900-01-01,Financial Planning Analyst,,USA,"Company Name: Under Armour
Financial Planning Analyst at Under Armour",Internship,012Vx00000BV8J8IAL,
001Vx000014ZjcEIAS,1900-01-01,Legislative Intern,,USA,"Company Name: Massachusetts State Senate
Legislative Intern, Mass State Senate",Internship,012Vx00000BV8J8IAL,MA
001Vx000014ZZ3QIAW,1900-01-01,Sales and Trading Intern,Summer,USA,"Company Name: Citi
Sales and Trading Summer Internship at Citi.",Internship,012Vx00000BV8J8IAL,
001Vx000014ZvWsIAK,1900-01-01,Internal Wholesaler,,USA,"Company Name: Eaton Vance
Internal wholesaler at Eaton Vance in Boston.",Full-time,012Vx00000BVF65IAH,MA
001Vx000014a7RaIAI,1900-01-01,Branch Analyst,,USA,Branch Analyst Program in Chicago. In VR Raman's branch.,Full-time,012Vx00000BVF65IAH,IL
001Vx000014ZoAXIA0,1900-01-01,Investment Management Analyst,,USA,"Company Name: Brown Advisory
Investment Management Analyst, Brown Advisory",Internship,012Vx00000BV8J8IAL,
001Vx000014ZoAXIA0,1900-01-01,Equity Research Associate,,USA,"Company Name: UBS
Equity Research Associate at UBS",Full-time,012Vx00000BVF65IAH,
001Vx000014a8InIAI,1900-01-01,Summer Analyst,Summer,USA,"Company Name: JPMorgan Chase
Summer Analyst at JP Morgan Chase",Internship,012Vx00000BV8J8IAL,
001Vx000014a8InIAI,1900-01-01,Leadership Development Program,,USA,"Company Name: JPMorgan Chase
Chase Leadership Development Program",Full-time,012Vx00000BVF65IAH,
001Vx000014ZxTrIAK,1900-01-01,,,USA,Hired by Al Bozzo on his team.,Full-time,012Vx00000BVF65IAH,
001Vx000014ZvbjIAC,1900-01-01,Family Office Analyst,,USA,"Company Name: Brown Brothers
Family Office Analyst at Brown Brothers in NYC",Full-time,012Vx00000BVF65IAH,NY
001Vx000014ZbOXIA0,1900-01-01,Summer Intern,Summer,USA,"Company Name: UBS
Summer intern at UBS",Internship,012Vx00000BV8J8IAL,
001Vx000014ZbOXIA0,1900-01-01,Client Service Associate,,USA,"Company Name: Morgan Stanley
Client Service Associate with the Rocco Bird Team at MS in NYC",Full-time,012Vx00000BVF65IAH,NY
001Vx000014a8QrIAI,1900-01-01,,,USA,"Company Name: The Boston Coaching Project
The Boston Coaching project.",Internship,012Vx00000BV8J8IAL,MA
001Vx000014a8QrIAI,1900-01-01,,,USA,"Company Name: Rilla
Works at Rilla, AI coaching app for sales.",Full-time,012Vx00000BVF65IAH,
001Vx000014a42IIAQ,1900-01-01,Emerging Wealth Solutions Intern,Summer,USA,Emerging Wealth Solutions summer internship in Tampa,Internship,012Vx00000BV8J8IAL,FL
001Vx000014a42IIAQ,1900-01-01,,,USA,"Company Name: E*TRADE
ETrade in Tampa",Full-time,012Vx00000BVF65IAH,FL
001Vx000014a2LSIAY,1900-01-01,Registered Associate,,USA,Registered Associate in Chicago,Full-time,012Vx00000BVF65IAH,IL
001Vx000014a5XqIAI,1900-01-01,Internal Wholesaler,,USA,"Company Name: Columbia Threadneedle Investments
Internal Wholesaler at Columbia Threadneedle in Boston.",Full-time,012Vx00000BVF65IAH,MA
